3 51 59 -> 75 fr=5 (0.1000), cf=0.833, gamma=5.952, delta=0.083, M=-9.768e+00
1 63 -> 79 fr=5 (0.1000), cf=1.000, gamma=5.556, delta=0.082, M=-9.730e+00
60 90 -> 105 fr=5 (0.1000), cf=1.000, gamma=5.556, delta=0.082, M=-9.730e+00
40 59 -> 39 fr=5 (0.1000), cf=1.000, gamma=5.556, delta=0.082, M=-9.730e+00
45 60 105 -> 90 fr=5 (0.1000), cf=1.000, gamma=5.556, delta=0.082, M=-9.730e+00
4 45 90 -> 105 fr=5 (0.1000), cf=1.000, gamma=5.556, delta=0.082, M=-9.730e+00
9 28 38 -> 79 fr=5 (0.1000), cf=1.000, gamma=5.556, delta=0.082, M=-9.730e+00
3 45 60 61 -> 90 fr=5 (0.1000), cf=1.000, gamma=5.556, delta=0.082, M=-9.730e+00
13 20 -> 37 fr=14 (0.2800), cf=0.778, gamma=1.944, delta=0.136, M=-9.681e+00
23 -> 1 fr=10 (0.2000), cf=1.000, gamma=2.273, delta=0.112, M=-9.673e+00
0 9 -> 21 fr=7 (0.1400), cf=0.467, gamma=3.333, delta=0.098, M=-9.650e+00
5 40 -> 39 fr=9 (0.1800), cf=0.450, gamma=2.500, delta=0.108, M=-9.610e+00
40 45 -> 13 fr=15 (0.3000), cf=1.000, gamma=1.667, delta=0.120, M=-9.583e+00
0 20 -> 14 fr=20 (0.4000), cf=0.833, gamma=1.543, delta=0.141, M=-9.579e+00
0 13 -> 40 fr=17 (0.3400), cf=0.708, gamma=1.687, delta=0.138, M=-9.406e+00
22 37 -> 20 fr=15 (0.3000), cf=0.938, gamma=1.736, delta=0.127, M=-9.386e+00
21 -> 19 fr=6 (0.1200), cf=0.857, gamma=4.286, delta=0.092, M=-9.369e+00
7 14 -> 23 fr=6 (0.1200), cf=0.857, gamma=4.286, delta=0.092, M=-9.369e+00
5 13 61 -> 91 fr=6 (0.1200), cf=0.857, gamma=4.286, delta=0.092, M=-9.369e+00
6 19 20 -> 23 fr=6 (0.1200), cf=0.857, gamma=4.286, delta=0.092, M=-9.369e+00
1 16 -> 76 fr=11 (0.2200), cf=0.524, gamma=2.183, delta=0.119, M=-9.353e+00
0 11 46 -> 40 fr=11 (0.2200), cf=0.917, gamma=2.183, delta=0.119, M=-9.353e+00
0 11 22 -> 40 fr=11 (0.2200), cf=0.917, gamma=2.183, delta=0.119, M=-9.353e+00
14 45 46 -> 40 fr=11 (0.2200), cf=0.917, gamma=2.183, delta=0.119, M=-9.353e+00
5 14 -> 20 fr=21 (0.4200), cf=0.808, gamma=1.496, delta=0.139, M=-9.337e+00
1 4 -> 9 fr=11 (0.2200), cf=0.733, gamma=2.292, delta=0.124, M=-9.262e+00
0 1 -> 9 fr=11 (0.2200), cf=0.733, gamma=2.292, delta=0.124, M=-9.262e+00
22 91 -> 61 fr=7 (0.1400), cf=0.778, gamma=3.535, delta=0.100, M=-9.208e+00
